Caption,Name,ClassName,ParentNode,Contain,Left,Top,Width,Height,FontName,Color,Type,EventName,EventCount,EventProcedures,ValidationRules,LabelCount,TextboxCount,inputboxcount,ButtonCount,DateCount,CalendarCount,PanelCount,FloatCount,CheckboxCount,ListBoxCount,SpecButonCount,ComboBoxCount,StatusBarCount
Position Reporting Entry,frmPOSENTRY,TfrmPOSENTRY,,"MainPageControl, StatusBar1, pnlDBCONFIG, pnlUSERID, pnlNOSTRO, pnlCHNGPWD, qryMAIN, qryLOOKUP, MainMenu1, pmuSTATUS, PopupMenu2, ADOConnection1, PrintDialog1",196,108,572,356,Arial,clBtnFace,tfrmposentry,"FormClose, FormCreate, FormDestroy, FormShow",4,"//qryMAIN.SQL.Text := utl.InifileMgr.ReadSectionData ('sql_correction_entry_checkout_flush', '');
	qryMAIN.SQL.Text := utl.Files.ReadSection (utl.Inifile,
  										'sql_correction_entry_checkout_flush', ' ');
  qryMAIN.SQL.Text := ReplaceStandardAppVars (qryMAIN.SQL.Text);
	odbc.ExecuteSQL (qryMAIN, True);
  LogEntry ('LOGGED OUT ');---
odbc:= LWODBCMgr.Create;
  utl	:= lwMutils.Create;
  rpx	:= _LWrpx.create;
	lwdbs	:= LWDataSources.Create;
//  gridSorter	:= LWHeaderSorter.Create;
//  gridSorter.StringGrid := grdAPPRLIST;
  if (uppercase (ParamStr (1)) = 'DEBUG') then debug := True else debug := False;
  // (1.4.0) assign the default size of the main window
  Width := 580;
  Height := 410;
	MainPageControl.Align := alClient;
  tag := 99;
  iSTATUSCol 	:= 0;
  iUIDCol			:= 0;
  iActiveRow	:= 0;
  iTypeCol    := 0;
  correction	:= False;
  sACTION_DESC:= 'corrected';
  pnlDEPTSYSLIST.Top := pnlSYSCTL.Top;
  pnlDEPTSYSLIST.Left := pnlSYSCTL.Left;
  pctlUSERIDMAINT.ActivePage := TabSheet1;
  ClientWidth	:= MainPageControl.Left + MainPageControl.Width+1;
  ClientHeight:= MainPageControl.Top + MainPageControl.Height+StatusBar1.Height+ 1;
  MainPageControl.ActivePageIndex := 0;
  lastControl	:= nil;
  sUID := '';
  pnlUSERID.Left 	:= 3;
  pnlUSERID.Top		:= 15;
	grdUSERID.ColCount := USERIMAINTGRID;
  pnlNOSTRO.Left	:= 30;
  pnlNOSTRO.Top		:= 30;
  pnlCHNGPWD.Left	:= 30;
  pnlCHNGPWD.Top	:= 30;
  grdUSERID.ColCount := 10;
	grdUSERID.ColWidths [0] := 0;
	grdUSERID.Cells [0,0]		:= '';
	grdUSERID.ColWidths [1] := 250;
	grdUSERID.Cells [1,0]		:= 'Domain Qualified Userid';
	grdUSERID.ColWidths [2] := 75;
	grdUSERID.Cells [2,0]		:= 'Dept';
	grdUSERID.ColWidths [3] := colwidth_FLAGS;
	grdUSERID.Cells [3,0]		:= 'Qry';
	grdUSERID.ColWidths [4] := colwidth_FLAGS;
	grdUSERID.Cells [4,0]		:= 'Inp';
	grdUSERID.ColWidths [5] := colwidth_FLAGS;
	grdUSERID.Cells [5,0]		:= 'Chk';
	grdUSERID.ColWidths [6] := colwidth_FLAGS;
	grdUSERID.Cells [6,0]		:= 'Adm';
	grdUSERID.ColWidths [7] := colwidth_FLAGS;
	grdUSERID.Cells [7,0]		:= 'UsA';
	grdUSERID.ColWidths [8] := colwidth_FLAGS;
	grdUSERID.Cells [8,0]		:= 'Rpt';
	grdUSERID.ColWidths [9] := colwidth_FLAGS;
	grdUSERID.Cells [9,0]		:= 'Sys';
	for i := 3 to grdUSERID.ColCount-1 do grdUSERID.AlignCol[i] := alCenter;
	for i := 3 to grdUSERID.ColCount-1 do grdUSERID.AlignCell [i, 0] := alCenter;
  dtSTACSDATE.DateTime := now;
  edtPRINTSTACSDATE.DateTime := now;
  // (1.4.0) removed CipherManager1 initialisation, not required in new codes
//  CipherManager1.InitKey (keycode, nil);
//  keycode = '879uih4fewdty7ugh32e67yfuey897uhi4bjk2iwgyjh247ewftgyu247ef8yi';---
//	gridSorter.Free;
	lwdbs.Free;
	odbc.Free;
	utl.Free;
  rpx.Free;---
Procedure not found","Here are the validation rules, checks, and constraints identified from the provided code:

1 Database operation must execute successfully: The SQL query for 'sql_correction_entry_checkout_flush' must execute without errors, as indicated by the 'True' parameter in odbc.ExecuteSQL.
2 User ID grid column count must be 10: The grdUSERID component is explicitly set to have 10 columns.
3 Grid column 0 width must be 0: The width of the first column in grdUSERID is set to 0.
4 Grid column 1 width must be 250: The width of the second column in grdUSERID is set to 250.
5 Grid column 2 width must be 75: The width of the third column in grdUSERID is set to 75.
6 Grid columns 3 through 9 width must be colwidth_FLAGS: The widths of columns 3 through 9 in grdUSERID are set to a value determined by 'colwidth_FLAGS'.
7 Grid column 1 header text must be 'Domain Qualified Userid': The header for the second column in grdUSERID is set to this specific string.
8 Grid column 2 header text must be 'Dept': The header for the third column in grdUSERID is set to this specific string.
9 Grid column 3 header text must be 'Qry': The header for the fourth column in grdUSERID is set to this specific string.
10 Grid column 4 header text must be 'Inp': The header for the fifth column in grdUSERID is set to this specific string.
11 Grid column 5 header text must be 'Chk': The header for the sixth column in grdUSERID is set to this specific string.
12 Grid column 6 header text must be 'Adm': The header for the seventh column in grdUSERID is set to this specific string.
13 Grid column 7 header text must be 'UsA': The header for the eighth column in grdUSERID is set to this specific string.
14 Grid column 8 header text must be 'Rpt': The header for the ninth column in grdUSERID is set to this specific string.
15 Grid column 9 header text must be 'Sys': The header for the tenth column in grdUSERID is set to this specific string.
16 Grid columns 3 through 9 content must be center aligned: The content of grdUSERID columns 3 to 9 is set to be center aligned.
17 Grid columns 3 through 9 headers must be center aligned: The headers of grdUSERID columns 3 to 9 are set to be center aligned.
18 dtSTACSDATE must contain a valid date and time value: The dtSTACSDATE component is assigned the current date and time, implying it must hold a valid TDateTime value.
19 edtPRINTSTACSDATE must contain a valid date and time value: The edtPRINTSTACSDATE component is assigned the current date and time, implying it must hold a valid TDateTime value.",,,,,,,,,,,,,
,MainPageControl,TPageControl,Position Reporting Entry,"6 pages: Entry, Approval List, Correction, Awaiting Confirmation, Reports, System Control",2,0,589,343,Arial,clWindowText,tabcontrol,,0,,,,,,,,,,,,,,,
Entry,mainTAB,TTabSheet,MainPageControl,"Dept., Entry Date, Value Date, Input Date, Entry Date, Transaction Type, Reported, edtDEPT, edtENTRYDATE, edtVALUEDATE, Clear, edtTYPE, edtPOSREF, Post && Clear (F10), pnlENTRYITEMS, Post Same (F8), FE EXCHANGE (Information), edtAPPROVEDATE",,,,,,,tabpage,,0,,,16,1,12,3,2,0,1,3,1,0,0,0,0
Dept.,Label1,TLabel,Entry,,8,16,31,16,,,label,,0,,,,,,,,,,,,,,,
Entry Date,lblDfm1,TLabel,Entry,,181,24,50,14,Arial,clWindowText,label,,0,,,,,,,,,,,,,,,
Value Date,Label5,TLabel,Entry,,368,8,64,16,,,label,,0,,,,,,,,,,,,,,,
Input Date,Label17,TLabel,Entry,,173,8,59,16,,,label,,0,,,,,,,,,,,,,,,
Entry Date,lblDfm2,TLabel,Entry,,382,24,50,14,Arial,clWindowText,label,,0,,,,,,,,,,,,,,,
Transaction Type,Label4,TLabel,Entry,,8,216,99,16,,,label,,0,,,,,,,,,,,,,,,
Reported,lblRPT,TLabel,Entry,,318,243,52,16,,,label,,0,,,,,,,,,,,,,,,
,edtDEPT,LWEnhancedEdit,Entry,,48,12,115,22,Courier New,clWindowText,dAny,edtDEPTExit,1,"edtDEPT.Text := trim(edtDEPT.Text);
  if (edtDEPT.Text = '') then exit;
	qryMAIN.SQL.Text := 'select * from deptlist where deptcode = '+#39+edtDEPT.Text+#39;
	qryMAIN.Open;
	if (qryMAIN.RecordCount=0) then begin
  	MessageDlg ('Invalid department code', mtWarning, [mbok], 0);
  	try if edtDEPT.CanFocus then edtDEPT.SetFocus; except","Here are the validation rules extracted from the code:

1 Department code must not be empty after trimming whitespace.
2 Department code must exist in the deptlist table.",,,,,,,,,,,,,
,edtENTRYDATE,LWEnhancedEdit,Entry,,237,12,111,22,Courier New,clWindowText,dDate,edtENTRYDATEExit,1,if (edtVALUEDATE.Text = '') then edtVALUEDATE.Text := edtENTRYDATE.Text;,"1 edtVALUEDATE must have a value. If edtVALUEDATE is empty, it defaults to the value of edtENTRYDATE.",,,,,,,,,,,,,
,edtVALUEDATE,LWEnhancedEdit,Entry,,438,12,113,22,Courier New,clWindowText,dDate,,0,,,,,,,,,,,,,,,
Clear,btnCLEAR,TButton,Entry,,306,276,123,23,Arial,clWindowText,button,btnCLEARClick,1,"sUID := '';
	edtENTRYDATE.Text := DateToStr (now);
	edtVALUEDATE.Text	:= '';
  edtREFERENCE.Text	:= '';
  edtTHEIRREF.Text	:= '';
	edtDRACCT.Text	:= '';
	edtDRACCTNAME.Text	:= '';
	edtCRACCT.Text	:= '';
	edtCRACCTNAME.Text	:= '';
	edtDRCUR.Text	:= '';
	edtDRAMT.Text	:= '';
	edtCRCUR.Text	:= '';
	edtCALC.Text	:= '*';
	edtEXCHRATE.Text	:= '1';
	edtCRAMT.Text	:= '';
  CorrectionSheet.TabVisible := True;
  tabINCOMPLETE.TabVisible := True;
  edtAPPROVEDATE.Text	:= '';
	correction := False;
  chkFEEXCH.Checked := False;
  edtPOSREF.Text := '';
  edtPOSREF.Visible := False;
  edtVALUEDATE.Enabled := True;
  btnPOST.Visible := True;
  RepeatInput1.Visible := True;
  edtAPPROVEDATE.Visible := False;
	lblRPT.Visible := False;
  pnlENTRYITEMS.Enabled := True;
  RepeatInput1.Enabled := True;
	utl.InifileMgr.Inifilename := utl.Inifile;
  //qryMAIN.SQL.Text := utl.InifileMgr.ReadSectionData ('sql_correction_entry_checkout_flush', '');
  qryMAIN.SQL.Text := utl.Files.ReadSection (utl.Inifile,
  									'sql_correction_entry_checkout_flush', ' ');
  qryMAIN.SQL.Text := ReplaceStandardAppVars (qryMAIN.SQL.Text);
	odbc.ExecuteSQL (qryMAIN, True);
  edtENTRYDATE.SetFocus;","Here are the validation rules, checks, or constraints extracted from the provided code:

1.  edtENTRYDATE is initialized with the current system date, implying it must contain a valid date.
2.  edtVALUEDATE is cleared, implying it expects user input that must be a valid date.
3.  edtREFERENCE is cleared, implying it expects user input that must be a string value.
4.  edtTHEIRREF is cleared, implying it expects user input that must be a string value.
5.  edtDRACCT is cleared, implying it expects user input that must be an account identifier.
6.  edtDRACCTNAME is cleared, implying it expects user input that must be an account name.
7.  edtCRACCT is cleared, implying it expects user input that must be an account identifier.
8.  edtCRACCTNAME is cleared, implying it expects user input that must be an account name.
9.  edtDRCUR is cleared, implying it expects user input that must be a currency code.
10. edtDRAMT is cleared, implying it expects user input that must be a numeric amount.
11. edtCRCUR is cleared, implying it expects user input that must be a currency code.
12. edtCALC is initialized with the asterisk character, implying it expects a specific calculation character.
13. edtEXCHRATE is initialized with the numeric value 1, implying it expects a numeric exchange rate.
14. edtCRAMT is cleared, implying it expects user input that must be a numeric amount.
15. edtAPPROVEDATE is cleared, implying it expects user input that must be a valid date if used.
16. chkFEEXCH is initialized to an unchecked state (false), implying it expects a boolean value.
17. edtPOSREF is cleared, implying it expects user input that must be a string reference if used.",,,,,,,,,,,,,
,edtTYPE,LWEnhancedEdit,Entry,,118,211,91,22,Courier New,clWindowText,dAny,edtTYPEExit,1,DetermineTransactionType;,"1 Transaction type logic enforcement : The system applies business rules to determine and validate a transaction type.
2 Data completeness for type determination : All underlying data required by the transaction type determination process must be present and valid.",,,,,,,,,,,,,
,edtPOSREF,LWEnhancedEdit,Entry,,10,242,157,22,Courier New,clWindowText,dAny,,0,,,,,,,,,,,,,,,
Post && Clear (F10),btnPOSTCLR,TButton,Entry,,8,276,123,23,Arial,clWindowText,button,Commit1Click,1,Procedure not found,,,,,,,,,,,,,,
,pnlENTRYITEMS,TPanel,Entry,"Remarks, INWARD Currency && Amount, INWARD ACCT, OUTWARD ACCT, Exchange Rate, Reference, Currency, OUTWARD Amount, Outward, edtTHEIRREF, edtDRACCT, edtDRCUR, edtDRAMT, edtCRACCT, edtCRCUR, edtCRAMT, edtCALC, edtEXCHRATE, edtDRACCTNAME, edtCRACCTNAME, edtREFERENCE",8,40,563,165,,,tpanel,,0,,,,,,,,,,,,,,,
Remarks,Label2,TLabel,pnlENTRYITEMS,,2,33,52,16,,,label,,0,,,,,,,,,,,,,,,
INWARD Currency && Amount,Label6,TLabel,pnlENTRYITEMS,,4,70,156,15,Arial,clRed,label,,0,,,,,,,,,,,,,,,
INWARD ACCT,Label8,TLabel,pnlENTRYITEMS,,0,118,90,16,Arial,clRed,label,,0,,,,,,,,,,,,,,,
OUTWARD ACCT,Label9,TLabel,pnlENTRYITEMS,,0,146,104,16,Arial,clGreen,label,,0,,,,,,,,,,,,,,,
Exchange Rate,Label10,TLabel,pnlENTRYITEMS,,293,71,73,14,Arial,clBlack,label,,0,,,,,,,,,,,,,,,
Reference,Label18,TLabel,pnlENTRYITEMS,,3,5,58,16,,,label,,0,,,,,,,,,,,,,,,
Currency,Label7,TLabel,pnlENTRYITEMS,,219,70,49,15,Arial,clGreen,label,,0,,,,,,,,,,,,,,,
OUTWARD Amount,Label12,TLabel,pnlENTRYITEMS,,379,70,106,15,Arial,clGreen,label,,0,,,,,,,,,,,,,,,
Outward,Label11,TLabel,pnlENTRYITEMS,,219,56,46,15,Arial,clGreen,label,,0,,,,,,,,,,,,,,,
,edtTHEIRREF,LWEnhancedEdit,pnlENTRYITEMS,,77,31,465,22,Courier New,clWindowText,dAny,,0,,,,,,,,,,,,,,,
,edtDRACCT,LWEnhancedEdit,pnlENTRYITEMS,,110,114,140,22,Courier New,clWindowText,dAny,edtDRACCTExit,1,Procedure not found,,,,,,,,,,,,,,
,edtDRCUR,LWEnhancedEdit,pnlENTRYITEMS,,4,86,46,22,Courier New,clWindowText,dAny,edtDRCURExit,1,Procedure not found,,,,,,,,,,,,,,
,edtDRAMT,LWEnhancedEdit,pnlENTRYITEMS,,53,86,164,22,Courier New,clWindowText,dFloat,edtDRAMTExit,1,"if (edtDRAMT.FloatValue = 0) or (edtEXCHRATE.FloatValue = 0) then exit;
	if (Sender = edtCALC) then
  	if (edtCALC.Text <> '*') and (edtCALC.Text <> '/') then edtCALC.Text := '*';
	case edtCALC.Text[1] of
  '*': edtCRAMT.FloatValue := edtDRAMT.FloatValue * edtEXCHRATE.FloatValue;
  '/': edtCRAMT.FloatValue := (edtDRAMT.FloatValue / edtEXCHRATE.FloatValue);","1 edtDRAMT.FloatValue must be non-zero. If zero, the procedure exits.
2 edtEXCHRATE.FloatValue must be non-zero. If zero, the procedure exits.
3 edtCALC.Text value must be '*' or '/'. If edtCALC is the sender and its text is neither '*' nor '/', it defaults to '*'.
4 The first character of edtCALC.Text must be '*' or '/'. This determines the calculation performed for edtCRAMT.FloatValue.",,,,,,,,,,,,,
,edtCRACCT,LWEnhancedEdit,pnlENTRYITEMS,,110,142,140,22,Courier New,clWindowText,dAny,edtDRACCTExit,1,Procedure not found,,,,,,,,,,,,,,
,edtCRCUR,LWEnhancedEdit,pnlENTRYITEMS,,219,86,46,22,Courier New,clWindowText,dAny,edtDRCURExit,1,Procedure not found,,,,,,,,,,,,,,
,edtCRAMT,LWEnhancedEdit,pnlENTRYITEMS,,375,86,168,22,Courier New,clWindowText,dFloat,edtCRAMTExit,1,"if (edtCRAMT.FloatValue = 0) or (edtEXCHRATE.FloatValue = 0) then exit;
	if (Sender = edtCALC) then
  	if (edtCALC.Text <> '*') and (edtCALC.Text <> '/') then edtCALC.Text := '*';
	case edtCALC.Text[1] of
  '*': edtDRAMT.FloatValue := edtCRAMT.FloatValue / edtEXCHRATE.FloatValue;
  '/': edtDRAMT.FloatValue := (edtCRAMT.FloatValue * edtEXCHRATE.FloatValue);","1 edtCRAMT value must be non-zero.
2 edtEXCHRATE value must be non-zero.
3 edtCALC text must be either '*' or '/'. If it is any other value, it is defaulted to '*'.",,,,,,,,,,,,,
,edtCALC,LWEnhancedEdit,pnlENTRYITEMS,,268,86,19,22,Courier New,clWindowText,dAny,edtDRAMTExit,1,"if (edtDRAMT.FloatValue = 0) or (edtEXCHRATE.FloatValue = 0) then exit;
	if (Sender = edtCALC) then
  	if (edtCALC.Text <> '*') and (edtCALC.Text <> '/') then edtCALC.Text := '*';
	case edtCALC.Text[1] of
  '*': edtCRAMT.FloatValue := edtDRAMT.FloatValue * edtEXCHRATE.FloatValue;
  '/': edtCRAMT.FloatValue := (edtDRAMT.FloatValue / edtEXCHRATE.FloatValue);","1 edtDRAMT value must not be zero: The FloatValue of edtDRAMT cannot be 0 for the calculation to proceed.
2 edtEXCHRATE value must not be zero: The FloatValue of edtEXCHRATE cannot be 0 for the calculation to proceed.
3 edtCALC text must be either '*' or '/': If edtCALC is the sender, its text is constrained to be either '*' or '/'.
4 edtCALC text default value: If edtCALC text is neither '*' nor '/', it defaults to '*'.",,,,,,,,,,,,,
,edtEXCHRATE,LWEnhancedEdit,pnlENTRYITEMS,,290,86,83,22,Courier New,clWindowText,dFloat,edtDRAMTExit,1,"if (edtDRAMT.FloatValue = 0) or (edtEXCHRATE.FloatValue = 0) then exit;
	if (Sender = edtCALC) then
  	if (edtCALC.Text <> '*') and (edtCALC.Text <> '/') then edtCALC.Text := '*';
	case edtCALC.Text[1] of
  '*': edtCRAMT.FloatValue := edtDRAMT.FloatValue * edtEXCHRATE.FloatValue;
  '/': edtCRAMT.FloatValue := (edtDRAMT.FloatValue / edtEXCHRATE.FloatValue);","1 edtDRAMT value must be non-zero. If zero, the calculation is aborted.
2 edtEXCHRATE value must be non-zero. If zero, the calculation is aborted.
3 edtCALC text must be either or /. If edtCALC is the sender and its text is neither, it defaults to.
4 The calculation operation for edtCRAMT is determined by the first character of edtCALC.Text, which must be either or /.",,,,,,,,,,,,,
,edtDRACCTNAME,LWEnhancedEdit,pnlENTRYITEMS,,252,114,290,22,Courier New,clWindowText,dAny,,0,,,,,,,,,,,,,,,
,edtCRACCTNAME,LWEnhancedEdit,pnlENTRYITEMS,,252,142,290,22,Courier New,clWindowText,dAny,,0,,,,,,,,,,,,,,,
,edtREFERENCE,LWEnhancedEdit,pnlENTRYITEMS,,77,4,465,22,Courier New,clWindowText,dAny,,0,,,,,,,,,,,,,,,
Post Same (F8),btnPOST,TButton,Entry,,154,276,123,23,Arial,clWindowText,button,Commit1Click,1,Procedure not found,,,,,,,,,,,,,,
FE EXCHANGE (Information),chkFEEXCH,TCheckBox,Entry,,266,211,199,17,,,tcheckbox,chkFEEXCHClick,1,DetermineTransactionType;,1 Transaction Type Logic: The transaction data must adhere to the business rules and conditions necessary for the successful determination of a valid transaction type by the DetermineTransactionType procedure.,,,,,,,,,,,,,
,edtAPPROVEDATE,TEdit,Entry,,380,242,125,22,,,textbox,,0,,,,,,,,,,,,,,,
Approval List,TabSheet2,TTabSheet,MainPageControl,"Panel1, pnlAPPRVLIST",,,,,,,tabpage,TabSheet2Show,1,"if (tag = 99) then exit;
	RefreshListing (grdAPPRLIST, 'sql_listing');",1 Internal constraint: The procedure exits if the tag variable is 99.,1,0,0,0,0,1,2,0,0,0,0,0,0
,Panel1,TPanel,Approval List,"Transaction Date, dtSTACSDATE",0,0,581,35,,,tpanel,,0,,,,,,,,,,,,,,,
Transaction Date,Label19,TLabel,Panel1,,4,8,98,16,,,label,,0,,,,,,,,,,,,,,,
,dtSTACSDATE,TDateTimePicker,Panel1,,116,5,109,24,,,calendar,,0,,,,,,,,,,,,,,,
,pnlAPPRVLIST,TPanel,Approval List,"grdAPPRLIST, grdAPPRLISTa",0,35,581,277,,,tpanel,,0,,,,,,,,,,,,,,,
,grdAPPRLIST,TStringSortGrid,pnlAPPRVLIST,,0,0,581,277,,,tstringsortgrid,,0,,,,,,,,,,,,,,,
,grdAPPRLISTa,TStringAlignGrid,pnlAPPRVLIST,,450,30,41,89,Courier New,clWindowText,tstringaligngrid,,0,,,,,,,,,,,,,,,
Correction,CorrectionSheet,TTabSheet,MainPageControl,"grdCORRECTION, grdCORRECTIONa",,,,,,,tabpage,CorrectionSheetShow,1,"RefreshListing (grdCORRECTION, 'sql_correction_listing');","1 The 'sql_correction_listing' parameter must be a valid identifier for a predefined SQL query or data source.
2 The SQL query referenced by 'sql_correction_listing' must be syntactically correct and executable against the underlying database.
3 The `grdCORRECTION` component must be a valid, initialized grid object capable of displaying the retrieved data.",0,0,0,0,0,0,0,0,0,0,0,0,0
,grdCORRECTION,TStringSortGrid,Correction,,0,0,581,312,,,tstringsortgrid,,0,,,,,,,,,,,,,,,
,grdCORRECTIONa,TStringAlignGrid,Correction,,346,68,107,155,Courier New,clWindowText,tstringaligngrid,,0,,,,,,,,,,,,,,,
Awaiting Confirmation,tabINCOMPLETE,TTabSheet,MainPageControl,"grdIncompleteItems, grdIncompleteItemsa",,,,,,,tabpage,tabINCOMPLETEShow,1,"RefreshListing (grdIncompleteItems, 'sql_listing_incomplete');","1.  Items displayed in `grdIncompleteItems` must conform to the criteria defined by the 'sql_listing_incomplete' query, identifying them as incomplete.",0,0,0,0,0,0,0,0,0,0,0,0,0
,grdIncompleteItems,TStringSortGrid,Awaiting Confirmation,,0,0,581,312,,,tstringsortgrid,,0,,,,,,,,,,,,,,,
,grdIncompleteItemsa,TStringAlignGrid,Awaiting Confirmation,,352,50,125,177,Courier New,clWindowText,tstringaligngrid,,0,,,,,,,,,,,,,,,
Reports,tabREPORTS,TTabSheet,MainPageControl,"lstREPORTS, Panel2",,,,,,,tabpage,,0,,,1,0,0,0,0,1,1,0,0,1,2,0,0
,lstREPORTS,TListBox,Reports,,0,33,581,279,Courier New,clWindowText,tlistbox,,0,,,,,,,,,,,,,,,
,Panel2,TPanel,Reports,"Business Date, btnPRINTRPT, btnVIEWRPT, edtPRINTSTACSDATE",0,0,581,33,,,tpanel,,0,,,,,,,,,,,,,,,
Business Date,Label21,TLabel,Panel2,,4,8,85,16,,,label,,0,,,,,,,,,,,,,,,
,btnPRINTRPT,TSpeedButton,Panel2,,236,4,27,25,,,tspeedbutton,btnPRINTRPTClick,1,"if (lstREPORTS.ItemIndex = -1) then exit;
  if Sender = btnPRINTRPT
  then PrintReport (lstREPORTS.Items [lstREPORTS.ItemIndex], True)
  else PrintReport (lstREPORTS.Items [lstREPORTS.ItemIndex], False);","1 Report selection required: An item must be selected from the list of reports (lstREPORTS).
2 Valid report identifier: The selected report item, passed to the PrintReport function, must represent a valid report that the function can process.",,,,,,,,,,,,,
