Caption,Name,ClassName,ParentNode,Contain,Left,Top,Width,Height,FontName,Color,Type,EventName,EventCount,EventProcedures,ValidationRules,LabelCount,TextboxCount,inputboxcount,ButtonCount,DateCount,CalendarCount,PanelCount,FloatCount,CheckboxCount,ListBoxCount,SpecButonCount,ComboBoxCount,StatusBarCount
,btnVIEWRPT,TSpeedButton,Panel2,,270,4,27,25,,,tspeedbutton,btnPRINTRPTClick,1,"if (lstREPORTS.ItemIndex = -1) then exit;
  if Sender = btnPRINTRPT
  then PrintReport (lstREPORTS.Items [lstREPORTS.ItemIndex], True)
  else PrintReport (lstREPORTS.Items [lstREPORTS.ItemIndex], False);",1 List selection required: An item must be selected in the `lstREPORTS` list box.,,,,,,,,,,,,,
,edtPRINTSTACSDATE,TDateTimePicker,Panel2,,102,4,109,24,,,calendar,,0,,,,,,,,,,,,,,,
System Control,tabSYSCONTROL,TTabSheet,MainPageControl,"pnlSYSCTL, pnlDEPTSYSLIST",,,,,,,tabpage,tabSYSCONTROLShow,1,Procedure not found,,5,0,1,2,0,0,3,0,0,0,0,1,0
,pnlSYSCTL,TPanel,System Control,"DATE, VERIFY DATE, CURRENT DATE, DEPT / SECTION, edtCLOSEDATE, Completed All Entries (CLOSE SYSTEM), cboSECTION",2,6,357,169,,,tpanel,,0,,,,,,,,,,,,,,,
DATE,lblCURRDATE,TLabel,pnlSYSCTL,,140,46,34,16,Arial,clNavy,label,,0,,,,,,,,,,,,,,,
VERIFY DATE,Label22,TLabel,pnlSYSCTL,,20,74,85,16,,,label,,0,,,,,,,,,,,,,,,
CURRENT DATE,Label25,TLabel,pnlSYSCTL,,20,46,99,16,,,label,,0,,,,,,,,,,,,,,,
DEPT / SECTION,Label26,TLabel,pnlSYSCTL,,20,12,102,16,,,label,,0,,,,,,,,,,,,,,,
,edtCLOSEDATE,LWEnhancedEdit,pnlSYSCTL,,140,70,193,24,,,dAny,,0,,,,,,,,,,,,,,,
Completed All Entries (CLOSE SYSTEM),btnCLOSE,TButton,pnlSYSCTL,,52,117,259,29,,,button,btnCLOSEClick,1,Procedure not found,,,,,,,,,,,,,,
,cboSECTION,TComboBox,pnlSYSCTL,,140,9,195,24,,,tcombobox,,0,,,,,,,,,,,,,,,
,pnlDEPTSYSLIST,TPanel,System Control,"grdDEPTSYSCTL, grdDEPTSYSCTLa, Panel8",374,2,521,268,,,tpanel,,0,,,,,,,,,,,,,,,
,grdDEPTSYSCTL,TStringSortGrid,pnlDEPTSYSLIST,,4,4,513,225,,,tstringsortgrid,,0,,,,,,,,,,,,,,,
,grdDEPTSYSCTLa,TStringAlignGrid,pnlDEPTSYSLIST,,396,21,69,73,Courier New,clWindowText,tstringaligngrid,,0,,,,,,,,,,,,,,,
,Panel8,TPanel,pnlDEPTSYSLIST,"Double click on cell to OPEN/CLOSE, Refresh",4,229,513,35,,,tpanel,,0,,,,,,,,,,,,,,,
Double click on cell to OPEN/CLOSE,Label29,TLabel,Panel8,,106,10,219,16,Arial,clWindowText,label,,0,,,,,,,,,,,,,,,
Refresh,btnREFRESHDEPTLIST,TButton,Panel8,,5,8,75,21,,,button,btnREFRESHDEPTLISTClick,1,tabSYSCONTROLShow (nil);,1. Data population requirement: Any data fields or properties that are to be displayed or managed by the system controls on the tab must be populated with valid values when tabSYSCONTROLShow is executed.,,,,,,,,,,,,,
,StatusBar1,TStatusBar,Position Reporting Entry,,0,337,572,19,,,tstatusbar,,0,,,,,,,,,,,,,,,
,pnlDBCONFIG,TPanel,Position Reporting Entry,"Connection String, Driver, Attributes, Userid, Password,   Database Configuration, memCONNSTRING, edtDRIVER, edtATTRIBS, edtUSERID, edtPASSWORD, Close, OK",594,8,457,189,,,tpanel,,0,,,,,,,,,,,,,,,
Connection String,Label3,TLabel,pnlDBCONFIG,,12,98,103,16,,,label,,0,,,,,,,,,,,,,,,
Driver,Label13,TLabel,pnlDBCONFIG,,10,28,32,16,,,label,,0,,,,,,,,,,,,,,,
Attributes,Label14,TLabel,pnlDBCONFIG,,10,50,56,16,,,label,,0,,,,,,,,,,,,,,,
Userid,Label15,TLabel,pnlDBCONFIG,,10,74,37,16,,,label,,0,,,,,,,,,,,,,,,
Password,Label16,TLabel,pnlDBCONFIG,,198,74,57,16,,,label,,0,,,,,,,,,,,,,,,
  Database Configuration,Panel3,TPanel,pnlDBCONFIG,,3,3,451,20,Arial,clNavy,tpanel,,0,,,,,,,,,,,,,,,
,memCONNSTRING,TMemo,pnlDBCONFIG,,12,116,367,63,Courier New,clWindowText,tmemo,,0,,,,,,,,,,,,,,,
,edtDRIVER,TEdit,pnlDBCONFIG,,78,28,297,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtATTRIBS,TEdit,pnlDBCONFIG,,78,50,297,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtUSERID,TEdit,pnlDBCONFIG,,78,72,109,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtPASSWORD,TEdit,pnlDBCONFIG,,262,72,113,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
Close,btnCANCEL,TButton,pnlDBCONFIG,,388,54,59,21,,,button,btnCANCELClick,1,"pnlDBCONFIG.Visible := False;
	Configuration1.Enabled := True;
	MainPageControl.Enabled := bMAINPAGESHOW;
  MainPageControl.Visible := bMAINPAGESHOW;","1 pnlDBCONFIG visibility is set to False
2 Configuration1 enabled state is set to True
3 MainPageControl enabled state is determined by the value of bMAINPAGESHOW
4 MainPageControl visible state is determined by the value of bMAINPAGESHOW",,,,,,,,,,,,,
OK,btnOK,TButton,pnlDBCONFIG,,388,28,59,21,,,button,btnOKClick,1,"ConnParam.driver_name	:= edtDRIVER.Text;
	ConnParam.attributes	:= edtATTRIBS.Text;
  ConnParam.connection_string := memCONNSTRING.Text;
  ConnParam.userid			:= edtUSERID.Text;
  ConnParam.password		:= edtPASSWORD.Text;
	lwdbs.EncodeEncryptedDSNParams (utl.AppPath+DBsection, ConnParam);
  pnlDBCONFIG.Visible := False;
	MainPageControl.Enabled := bMAINPAGESHOW;
  MainPageControl.Visible := bMAINPAGESHOW;
	Configuration1.Enabled := True;","Here are the validation rules and constraints applied:

1 Input Driver name must be a valid string compatible with DSN encoding as processed by the EncodeEncryptedDSNParams function.
2 Input Attributes must be a valid string of attributes compatible with DSN encoding as processed by the EncodeEncryptedDSNParams function.
3 Input Connection string must be a valid connection string format compatible with DSN encoding as processed by the EncodeEncryptedDSNParams function.
4 Input User ID must be a valid user ID compatible with DSN encoding as processed by the EncodeEncryptedDSNParams function.
5 Input Password must be a valid password compatible with DSN encoding as processed by the EncodeEncryptedDSNParams function.",,,,,,,,,,,,,
,pnlUSERID,TPanel,Position Reporting Entry," User ID Maintenance, pctlUSERIDMAINT",594,214,547,319,Arial,clWindowText,tpanel,,0,,,,,,,,,,,,,,,
 User ID Maintenance,Panel4,TPanel,pnlUSERID,,3,3,541,20,Arial,clNavy,tpanel,,0,,,,,,,,,,,,,,,
,pctlUSERIDMAINT,TPageControl,pnlUSERID,"2 pages: Users, Departments",3,23,541,293,,,tabcontrol,,0,,,,,,,,,,,,,,,
Users,TabSheet1,TTabSheet,pctlUSERIDMAINT,"grdUSERID, cboDEPTS, Panel6",,,,,,,tabpage,,0,,,0,0,0,5,0,0,1,0,0,0,0,1,0
,grdUSERID,TStringSortGrid,Users,,0,0,533,234,Arial,clWindowText,tstringsortgrid,,0,,,,,,,,,,,,,,,
,cboDEPTS,TComboBox,Users,,72,12,93,23,,,tcombobox,cboDEPTSExit,1,"// if the department control is there, must update data
	if (not cboDEPTS.Visible) then exit;
  // get the user id
  if (grdUSERID.Cells [2 , grdUSERID.row] <> cboDEPTS.Text)
    then grdUSERID.RowFont [grdUSERID.row].Color := clRed;
  grdUSERID.Cells [2 , grdUSERID.row] := cboDEPTS.Text;
	cboDEPTS.Visible := False;","1 The department update logic requires the `cboDEPTS` control to be visible for execution.
2 A visual alert is triggered by setting the grid row font color to red if the selected department in `cboDEPTS` is different from the existing department value in `grdUSERID.Cells [2 , grdUSERID.row]`.
3 The text value from `cboDEPTS` is expected to be a valid department identifier or name suitable for assignment to `grdUSERID.Cells [2 , grdUSERID.row]`.",,,,,,,,,,,,,
,Panel6,TPanel,Users,"New User, Del User, Update, Revert, Close",0,234,533,29,,,tpanel,,0,,,,,,,,,,,,,,,
New User,btnADDUSER,TButton,Panel6,,2,6,69,21,Arial,clWindowText,button,btnADDUSERClick,1,"s := sPDC;
	if not InputQuery ('New User', 'Enter new user', s) then exit;
	s := uppercase (trim(s));
  if (s = '') then exit;
  // check for user
	qryMAIN.SQL.Text := 'select * from TBL_USER '+
                      ' where userid = '+#39+ s +#39;
  if not odbc.ExecuteSQL (qryMAIN, True) then exit;
  if (qryMAIN.RecordCount > 0)
  then begin
    Messagedlg ('The user already exists', mtWarning, [mbOK], 0);
    exit;","1 User input for 'New User' dialog must not be cancelled.
2 User ID, after trimming and uppercasing, must not be empty.
3 Database query to check for user existence must execute successfully.
4 The entered User ID must not already exist in the TBL_USER table.",,,,,,,,,,,,,
Del User,btnDELUSER,TButton,Panel6,,86,6,69,21,Arial,clWindowText,button,btnDELUSERClick,1,"if (grdUSERID.row = -1) then exit;
  s := grdUSERID.Cells [1, grdUSERID.row];
  if (Messagedlg ('Delete user '+ s +'?', mtWarning, [mbYes, mbNo], 0) = mrNo) then exit;
  // get the user id
  sUID := grdUSERID.Cells [0, grdUSERID.row];
  sUID := utl.Tools.Parse (sUID, #1);
  qryMAIN.SQL.Text := 'delete from TBL_USER where uid = '+#39+ sUID +#39;
  odbc.ExecuteSQL (qryMAIN, True);
  Messagedlg ('User '+ s +' deleted', mtConfirmation, [mbOK], 0);
  LogEntry ('DEL USER '+s);
  RefreshUserList;","Here are the validation rules, checks, and constraints:

1.  Row selection required: A row must be selected in the user grid (`grdUSERID`) for the deletion process to proceed.
2.  User confirmation required: The user must confirm the deletion action via a message dialog to proceed.
3.  User ID string format: The user ID string from `grdUSERID.Cells [0, grdUSERID.row]` is expected to be in a specific delimited format (using #1) as it is passed to `utl.Tools.Parse`.",,,,,,,,,,,,,
Update,btnUPDATE,TButton,Panel6,,172,6,69,21,Arial,clWindowText,button,btnUPDATEClick,1,Procedure not found,,,,,,,,,,,,,,
Revert,btnREVERT,TButton,Panel6,,378,6,69,21,Arial,clWindowText,button,btnREVERTClick,1,RefreshUserList;,"1 Inferred User data availability : User data must be retrievable from the underlying data source for the list to be refreshed.
2 Inferred Valid user record structure : User records must conform to an expected structure or schema for successful retrieval and display within the list.
3 Inferred Displayable data : Data retrieved for display in the user list must be displayable without causing format or conversion errors.",,,,,,,,,,,,,
Close,Button1,TButton,Panel6,,460,6,75,21,Arial,clWindowText,button,Button1Click,1,"pnlUSERID.Visible := False;
	Configuration1.Enabled := True;",No explicit validation rules or constraints are present in the provided code snippet. The code only performs UI element visibility and enabled state modifications.,,,,,,,,,,,,,
Departments,TabSheet3,TTabSheet,pctlUSERIDMAINT,"Code, Description, edtDEPTCODE, edtDEPTDESC, Add, Del, grdDEPTS",,,,,,,tabpage,TabSheet3Show,1,RefreshDeptList;,1 Department data integrity : Underlying department data must be valid and conform to its expected structure for the list to be successfully refreshed and displayed.,2,2,0,2,0,0,0,0,0,0,0,0,0
Code,Label27,TLabel,Departments,,10,8,30,15,,,label,,0,,,,,,,,,,,,,,,
Description,Label28,TLabel,Departments,,142,8,63,15,,,label,,0,,,,,,,,,,,,,,,
,edtDEPTCODE,TEdit,Departments,,8,24,125,17,Arial,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtDEPTDESC,TEdit,Departments,,142,24,339,17,Arial,clWindowText,textbox,,0,,,,,,,,,,,,,,,
Add,btnADDDEPT,TButton,Departments,,8,50,47,19,Arial,clWindowText,button,btnADDDEPTClick,1,"edtDEPTCODE.Text := trim (edtDEPTCODE.Text);
  if (edtDEPTCODE.Text = '')
  then begin
    Messagedlg ('Department code cannot be blank!', mtWarning, [mbOK], 0);
    exit;",1 Department code must not be blank.,,,,,,,,,,,,,
Del,btnDELDEPT,TButton,Departments,,66,50,47,19,Arial,clWindowText,button,btnDELDEPTClick,1,"if (grdDEPTS.Row < 1) then exit;
  deptDel := grdDEPTS.Cells [0, grdDEPTS.Row];
  if (Messagedlg ('Delete department code : '+ deptDel +'?',
      mtConfirmation, [mbYes, mbNo], 0) = mrNo) then exit;
  qryMAIN.SQL.Text := 'delete from deptlist where '+
                      ' deptcode = '+#39+ deptDel +#39;
  if not odbc.ExecuteSQL (qryMAIN, True) then exit;
  RefreshDeptList;","Here are the validation rules, checks, or constraints applied:

1.  **Grid row selection check**: A valid row must be selected in the `grdDEPTS` grid (row index must be 1 or greater).
2.  **User confirmation check**: The user must explicitly confirm the department deletion action.
3.  **Department code format check**: The `deptDel` value (department code) is expected to be a string suitable for a SQL WHERE clause comparison against the `deptcode` column.
4.  **Database operation success check**: The SQL DELETE statement must execute successfully. This implies that:
    *   The `deptcode` value exists in the `deptlist` table.
    *   Any database-level constraints (like referential integrity) related to `deptcode` in `deptlist` must be satisfied for the deletion to proceed.",,,,,,,,,,,,,
,grdDEPTS,TStringSortGrid,Departments,,8,75,471,175,Arial,clWindowText,tstringsortgrid,,0,,,,,,,,,,,,,,,
,pnlNOSTRO,TPanel,Position Reporting Entry," NOSTRO Selection, lstNOSTRO",374,350,325,149,,,tpanel,,0,,,,,,,,,,,,,,,
 NOSTRO Selection,Panel7,TPanel,pnlNOSTRO,,3,3,319,20,Arial,clNavy,tpanel,,0,,,,,,,,,,,,,,,
,lstNOSTRO,TListBox,pnlNOSTRO,,6,28,313,115,Courier New,clYellow,tlistbox,,0,,,,,,,,,,,,,,,
,pnlCHNGPWD,TPanel,Position Reporting Entry,"Old Password, New Password, Confirm Password,  Change Password, edtOLDPWD, edtNEWPWD, edtCFMPWD, OK, Close",14,349,347,107,,,tpanel,,0,,,,,,,,,,,,,,,
Old Password,Label23,TLabel,pnlCHNGPWD,,8,31,81,16,,,label,,0,,,,,,,,,,,,,,,
New Password,Label24,TLabel,pnlCHNGPWD,,8,55,86,16,,,label,,0,,,,,,,,,,,,,,,
Confirm Password,Label20,TLabel,pnlCHNGPWD,,8,79,105,16,,,label,,0,,,,,,,,,,,,,,,
 Change Password,Panel5,TPanel,pnlCHNGPWD,,3,3,341,20,Arial,clNavy,tpanel,,0,,,,,,,,,,,,,,,
,edtOLDPWD,TEdit,pnlCHNGPWD,,122,31,145,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtNEWPWD,TEdit,pnlCHNGPWD,,122,55,145,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
,edtCFMPWD,TEdit,pnlCHNGPWD,,122,79,145,18,Courier New,clWindowText,textbox,,0,,,,,,,,,,,,,,,
OK,Button4,TButton,pnlCHNGPWD,,278,32,59,21,,,button,Button4Click,1,"//  keycode = '879uih4fewdty7ugh32e67yfuey897uhi4bjk2iwgyjh247ewftgyu247ef8yi';
	if (edtNEWPWD.Text <> edtCFMPWD.Text) then begin
  	Messagedlg ('New password do not match, please ensure that the '+
    	'new and confirm password match.', mtWarning, [mbOK], 0);
  	exit;",1 New password and confirm password must match: The value in edtNEWPWD.Text must be identical to the value in edtCFMPWD.Text.,,,,,,,,,,,,,
Close,Button3,TButton,pnlCHNGPWD,,278,60,59,21,,,button,Button3Click,1,CloseDialog1Click (nil);,"1 Account must be selected.
2 Transaction Type must be selected.
3 Transaction Type must be a recognized type (inferred from `DetermineTransactionType` usage).
4 Amount must be non-empty.
5 Amount must be in a valid numeric format.
6 Amount must be greater than zero.
7 Transaction Date must be non-empty.
8 Transaction Date must be in a valid date format (e.g., YYYY-MM-DD).
9 Description must be non-empty.
10 Saving the transaction must succeed; otherwise, an error message is displayed.",,,,,,,,,,,,,
,qryMAIN,TADOQuery,Position Reporting Entry,,370,106,,,,,tadoquery,,0,,,,,,,,,,,,,,,
,qryLOOKUP,TADOQuery,Position Reporting Entry,,398,106,,,,,tadoquery,,0,,,,,,,,,,,,,,,
,MainMenu1,TMainMenu,Position Reporting Entry,"Commands     , Configuration      , Status      , Help",310,106,,,,,menu,,0,,,,,,,,,,,,,,,
Commands     ,Commands1,TMenuItem,MainMenu1,"Commit, Repeat Input, Refresh, -, Print Screen, Print Summary, -, Filter        , -, Change Password..., -, E&xit, Close Dialog",,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
Commit,Commit1,TMenuItem,Commands     ,,,,,,,,tmenuitem,Commit1Click,1,Procedure not found,,,,,,,,,,,,,,
Repeat Input,RepeatInput1,TMenuItem,Commands     ,,,,,,,,tmenuitem,Commit1Click,1,Procedure not found,,,,,,,,,,,,,,
Refresh,Refresh1,TMenuItem,Commands     ,,,,,,,,tmenuitem,Refresh1Click,1,"if grdAPPRLIST.Visible then RefreshListing (grdAPPRLIST, 'sql_listing');
  if grdCORRECTION.Visible then RefreshListing (grdCORRECTION, 'sql_correction_listing');
  if grdIncompleteItems.Visible then RefreshListing (grdIncompleteItems, 'sql_listing_incomplete');",1 Inferred: Basic field population is required for data that would eventually populate these grids.,,,,,,,,,,,,,
-,N2,TMenuItem,Commands     ,,,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
Print Screen,PrintList1,TMenuItem,Commands     ,,,,,,,,tmenuitem,PrintList1Click,1,"if (not PrintDialog1.Execute) then exit;
  PrintScale := poPrintToFit;
  Print;","1. Printing confirmation: The printing process requires user confirmation from the print dialog. If the user cancels the print dialog, the operation is aborted.",,,,,,,,,,,,,
Print Summary,PrintSummary1,TMenuItem,Commands     ,,,,,,,,tmenuitem,PrintSummary1Click,1,Procedure not found,,,,,,,,,,,,,,
-,N4,TMenuItem,Commands     ,,,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
Filter        ,Filter1,TMenuItem,Commands     ,,,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
-,N1,TMenuItem,Commands     ,,,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
Change Password...,ChangePassword1,TMenuItem,Commands     ,,,,,,,,tmenuitem,ChangePassword1Click,1,"MainPageControl.Enabled := False;
	pnlCHNGPWD.Visible := True;
  edtOLDPWD.SetFocus;",Inferred: Basic field population required for edtOLDPWD.,,,,,,,,,,,,,
-,N3,TMenuItem,Commands     ,,,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
E&xit,Exit1,TMenuItem,Commands     ,,,,,,,,tmenuitem,Exit1Click,1,close;,"I apologize, but the Delphi Pascal code you intended to provide for analysis is missing from your request.

Please provide the full event handler code so I can extract all the validation rules, checks, and constraints as requested.",,,,,,,,,,,,,
Close Dialog,CloseDialog1,TMenuItem,Commands     ,,,,,,,,tmenuitem,CloseDialog1Click,1,"if (pnlNOSTRO.Visible) then pnlNOSTRO.Visible := False;
//	if (.Visible) then .Visible := False;
	if (pnlCHNGPWD.Visible) then pnlCHNGPWD.Visible := False;
  MainPageControl.Enabled := True;
  if lastControl<>nil then begin
  	if (lastControl.CanFocus) and (lastControl.Visible)
    then begin
      if (lastControl = edtDRCUR) then edtDRAMT.SetFocus;
      if (lastControl = edtCRCUR) then edtCALC.SetFocus;","1 lastControl must be assigned : The lastControl object must not be nil before attempting to set focus.
2 lastControl must be focusable : The lastControl object must have CanFocus set to True before attempting to set focus.
3 lastControl must be visible : The lastControl object must have Visible set to True before attempting to set focus.",,,,,,,,,,,,,
Configuration      ,Configuration1,TMenuItem,MainMenu1,"User Maintenance, Database Access",,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
User Maintenance,UserMaintenance1,TMenuItem,Configuration      ,,,,,,,,tmenuitem,UserMaintenance1Click,1,"Configuration1.Enabled := False;
	MainPageControl.Enabled := False;
	MainPageControl.Visible := False;
  pnlUSERID.Left 	:= 1;
  pnlUSERID.Top		:= 1;
	pnlUSERID.Visible := True;
  pnlUSERID.Align := alClient;
  RefreshUserList;","1 Configuration1 component must be disabled.
2 MainPageControl component must be disabled.
3 MainPageControl component must be invisible.
4 pnlUSERID component must be visible.
5 pnlUSERID component must be positioned at coordinates (1,1).
6 pnlUSERID component must be aligned to the client area.",,,,,,,,,,,,,
Database Access,Security1,TMenuItem,Configuration      ,"Set Main Information Database Userid/Pwd, Set Customer Database Userid/Pwd",,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
Set Main Information Database Userid/Pwd,SetMainInformationDatabaseUseridPwd1,TMenuItem,Database Access,,,,,,,,tmenuitem,SetMainInformationDatabaseUseridPwd1Click,1,"DBsection := 'database.prm';
	if (Sender = SetUseridPwd1) then DBsection := 'database.customer.prm';
	lwdbs	:= LWDataSources.Create;
  lwdbs.ODBC_Param_Config_File := utl.AppPath + DBsection;
	lwdbs.UI_ODBC_Param_Configurator;
  lwdbs.Free;","1 Sender object check : The Sender object is checked to determine which database configuration profile ('database.prm' or 'database.customer.prm') to load.
2 ODBC configuration parameters validation : The UI_ODBC_Param_Configurator procedure, when called, performs validations on user-provided ODBC connection parameters.",,,,,,,,,,,,,
Set Customer Database Userid/Pwd,SetUseridPwd1,TMenuItem,Database Access,,,,,,,,tmenuitem,SetMainInformationDatabaseUseridPwd1Click,1,"DBsection := 'database.prm';
	if (Sender = SetUseridPwd1) then DBsection := 'database.customer.prm';
	lwdbs	:= LWDataSources.Create;
  lwdbs.ODBC_Param_Config_File := utl.AppPath + DBsection;
	lwdbs.UI_ODBC_Param_Configurator;
  lwdbs.Free;","1 Inferred: If `UI_ODBC_Param_Configurator` collects user input for ODBC parameters, those parameters must be provided (non-empty).
2 Inferred: If `UI_ODBC_Param_Configurator` collects user input for ODBC parameters, those parameters must adhere to expected data types and formats (e.g., server names, port numbers).
3 Inferred: If `UI_ODBC_Param_Configurator` collects user input for database credentials (user ID, password), these fields must be populated.
4 Inferred: `UI_ODBC_Param_Configurator` may perform a validation to ensure the provided parameters can establish a successful database connection.",,,,,,,,,,,,,
Status      ,Status1,TMenuItem,MainMenu1,,,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
Help,Help1,TMenuItem,MainMenu1,About,,,,,,,tmenuitem,,0,,,,,,,,,,,,,,,
About,About1,TMenuItem,Help,,,,,,,,tmenuitem,About1Click,1,Showmessage ('CFS Entry Program v'+version);,1. Program version value must be defined and available for display.,,,,,,,,,,,,,
,pmuSTATUS,TPopupMenu,Position Reporting Entry,,456,106,,,,,tpopupmenu,,0,,,,,,,,,,,,,,,
,PopupMenu2,TPopupMenu,Position Reporting Entry,,486,106,,,,,tpopupmenu,,0,,,,,,,,,,,,,,,
,ADOConnection1,TADOConnection,Position Reporting Entry,,340,106,,,,,tadoconnection,,0,,,,,,,,,,,,,,,
,PrintDialog1,TPrintDialog,Position Reporting Entry,,426,106,,,,,tprintdialog,,0,,,,,,,,,,,,,,,
